Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1575.520000901861
FDW14,OUT017,1399.2927510755655
NCN55,OUT010,555.8879811670475
FDQ58,OUT017,2499.2624164119784
FDY38,OUT027,6274.6046219012
FDH56,OUT046,1934.4819614265987
FDL48,OUT018,727.6414913421227
FDC48,OUT027,2097.967671348725
FDN33,OUT045,1554.6333790350834
FDA36,OUT017,3092.6216159552832
FDT44,OUT017,2027.318126966065
FDQ56,OUT045,1380.8927898516254
NCC54,OUT019,601.7360300210075
FDU11,OUT049,2083.2169914251226
DRL59,OUT013,798.4708543811032
FDM24,OUT049,2482.985847197178
FDI57,OUT045,3142.0682052481193
DRC12,OUT018,3081.8332813969837
NCM42,OUT027,2823.7626388143526
FDA46,OUT010,535.4640720852453
FDA31,OUT013,2837.650574505186
NCJ31,OUT035,3940.63070738895
FDG52,OUT046,706.1505478734296
NCL19,OUT019,306.4148258633677
FDS10,OUT035,2944.708609503318
FDX22,OUT010,580.8783274564396
NCF19,OUT035,706.1505478734296
NCE06,OUT046,2685.0944402648825
DRC27,OUT046,3993.0602752991585
FDE21,OUT035,1934.4819614265987
NCR42,OUT019,82.25201015652713
FDX51,OUT018,3081.8332813969837
NCR06,OUT018,695.2981677696403
FDU31,OUT027,5961.234421057325
FDU59,OUT017,2704.045838215326
FDR03,OUT027,5726.435136724347
FDS49,OUT027,2043.310889361859
FDD48,OUT010,261.3013016224013
NCF18,OUT017,3092.6216159552832
NCD43,OUT027,2670.726283504414
NCD54,OUT018,2110.5891503962325
FDY19,OUT010,260.2395518192145
NCY54,OUT017,2837.650574505186
NCL19,OUT018,2459.6510155577193
FDP23,OUT010,601.9129285326626
FDC26,OUT013,1622.2978025144387
FDR14,OUT010,164.85239464346648
NCS41,OUT035,3082.4429478276807
FDF41,OUT035,4005.7737038017103
FDU34,OUT046,2083.2169914251226
DRH11,OUT046,859.4804293220585
FDM03,OUT013,1575.520000901861
FDS31,OUT017,2965.9100263058103
FDJ20,OUT017,2083.2169914251226
FDV44,OUT027,4971.146522828944
FDG02,OUT049,3092.6216159552832
FDA09,OUT013,2886.5592136185805
FDT04,OUT013,695.2981677696403
FDL58,OUT019,568.1667751307901
FDE52,OUT045,1485.5125643169415
FDW12,OUT035,2466.0833550235084
FDL51,OUT017,3553.1688947396833
NCY42,OUT027,3337.4572651384165
FDR07,OUT017,1554.6333790350834
FDN40,OUT045,2493.149102042499
FDB35,OUT027,2542.067256122584
FDA22,OUT017,2704.045838215326
NCL06,OUT046,4064.3272448769926
FDI35,OUT013,2979.716077076677
NCW42,OUT045,3583.8564145661617
NCX06,OUT049,2931.7596328542018
FDC37,OUT027,2695.3818253052395
FDZ14,OUT018,2083.2169914251226
DRG49,OUT049,3983.9135486434084
NCG06,OUT045,4096.991593052058
DRC36,OUT045,2837.650574505186
FDV21,OUT019,423.3063729892643
FDB53,OUT046,2466.0833550235084
DRP47,OUT019,546.1747781460889
FDA14,OUT013,2466.0833550235084
DRC24,OUT035,2493.149102042499
FDW21,OUT018,1558.5813264579365
NCH29,OUT046,1554.6333790350834
FDU58,OUT013,3092.6216159552832
FDY27,OUT017,2837.650574505186
FDV56,OUT035,1582.172648968509
FDT59,OUT046,3922.853921018992
FDB23,OUT046,3875.7063746146027
FDR49,OUT045,706.1505478734296
FDB03,OUT010,564.4066156241307
FDN39,OUT045,2704.045838215326
FDX02,OUT027,6150.9352383008745
FDQ16,OUT027,2695.3818253052395
FDU35,OUT018,1554.6333790350834
NCT29,OUT013,2083.2169914251226
FDZ27,OUT046,706.1505478734296
FDN57,OUT017,2087.757861155802
FDA03,OUT018,2459.6510155577193
FDZ36,OUT045,3092.6216159552832
NCU05,OUT013,1256.3477310122364
FDT39,OUT018,2469.878621565553
FDK60,OUT017,1554.6333790350834
FDZ25,OUT017,2759.0533558964094
FDG12,OUT046,2083.2169914251226
DRB01,OUT019,501.3251703842545
NCC43,OUT027,6398.202867801452
FDX13,OUT019,542.2749357269961
FDM22,OUT049,844.0393730031814
FDJ03,OUT027,1231.7203911980132
FDU14,OUT018,3954.2797906897404
FDB33,OUT010,453.5195741326373
FDP27,OUT046,3092.6216159552832
FDO38,OUT010,171.7816990652486
FDE28,OUT027,6345.781050819975
FDO27,OUT035,1545.200940061716
DRL23,OUT027,2713.48345833955
FDS28,OUT046,859.4804293220585
FDX24,OUT013,1514.4134254055966
FDZ02,OUT035,1554.6333790350834
FDL46,OUT045,1934.4819614265987
FDS60,OUT027,4921.102746761591
NCO06,OUT017,695.2981677696403
FDO16,OUT035,1376.0791779926512
FDC60,OUT049,1399.2927510755655
FDA48,OUT018,3479.6592528161937
FDZ36,OUT027,5006.646609513118
FDK27,OUT045,2083.2169914251226
FDW23,OUT018,695.2981677696403
FDM14,OUT018,1602.9744283168961
FDM14,OUT013,1575.520000901861
FDW60,OUT018,2820.429900481097
FDE21,OUT013,1918.908209713586
NCM42,OUT035,1589.0162401452146
FDY59,OUT010,227.14972291254733
DRI49,OUT049,1250.4902689896994
FDT28,OUT019,338.22913507235717
FDQ22,OUT018,695.2981677696403
FDR60,OUT049,1200.677806960967
FDC50,OUT019,246.61068004956832
FDV24,OUT013,2482.985847197178
DRF48,OUT010,503.8100297850154
FDQ47,OUT046,695.2981677696403
DRN36,OUT049,1554.6333790350834
NCY06,OUT035,2083.2169914251226
FDE52,OUT035,1485.5125643169415
NCB54,OUT045,2083.2169914251226
NCF31,OUT035,2493.149102042499
FDJ08,OUT027,4959.507301326738
NCC07,OUT017,1575.520000901861
NCD19,OUT027,1640.1301041243707
FDL46,OUT049,2033.4976166472297
FDM20,OUT045,3999.9629983488417
NCI06,OUT010,440.359619891829
DRM11,OUT035,4062.9575170791886
NCH07,OUT018,2640.5670995146015
FDS23,OUT013,2087.757861155802
FDO49,OUT018,713.3428307555823
FDS35,OUT049,1024.9747006385276
DRK39,OUT045,1298.8923466193173
DRI39,OUT049,859.4804293220585
FDV04,OUT017,2624.0092701620983
NCN14,OUT035,3082.4429478276807
FDH08,OUT013,3922.853921018992
FDS20,OUT046,3082.4429478276807
FDV40,OUT049,1142.0322883882995
FDZ48,OUT010,244.52192514505333
FDS24,OUT027,2322.9933097778458
FDK44,OUT049,2837.650574505186
FDS48,OUT045,2471.733255224748
FDK26,OUT010,531.2634436103932
FDD23,OUT045,3092.6216159552832
NCH54,OUT017,2685.0944402648825
NCP14,OUT010,236.901419868606
FDM60,OUT010,91.01690043513935
FDV24,OUT017,2476.3109610313427
FDH08,OUT018,3828.557827697664
FDS12,OUT027,3279.6249871278796
FDR39,OUT027,4968.390685171149
FDP12,OUT027,1109.5349089935335
DRF60,OUT027,6394.38904148227
FDC09,OUT035,1563.676858596357
FDF50,OUT018,3124.0544435087018
FDG28,OUT035,4005.5224177313876
NCE19,OUT017,859.4804293220585
NCM53,OUT010,266.0421149357599
NCN18,OUT049,1615.5519455257117
FDF32,OUT035,3175.639106963004
FDF11,OUT013,4066.4143679573153
DRI59,OUT049,3827.677545570238
NCG54,OUT035,2759.0533558964094
FDM44,OUT046,1558.5813264579365
FDT57,OUT018,3916.7535104980784
FDV24,OUT046,2476.3109610313427
FDI50,OUT019,540.9768601630954
FDS09,OUT035,747.959941296503
NCC31,OUT027,3964.4880947500583
FDQ07,OUT019,545.9920548465116
FDC22,OUT017,3092.6216159552832
FDZ56,OUT046,2759.0533558964094
FDZ40,OUT019,143.4748117018247
FDS46,OUT027,3056.700551091848
DRD24,OUT045,2087.757861155802
FDV45,OUT017,3092.6216159552832
FDL26,OUT045,2524.7329348714466
FDA56,OUT018,2083.2169914251226
FDN27,OUT046,1990.2547129336817
FDM20,OUT049,3999.9629983488417
FDO16,OUT017,1298.8923466193173
FDL03,OUT035,3092.6216159552832
FDE58,OUT046,1934.4819614265987
FDI02,OUT027,3002.1813256555542
NCC55,OUT019,86.82016182258748
FDR03,OUT018,3483.7713943819076
FDB14,OUT017,1514.4134254055966
FDR45,OUT013,4035.791320508657
NCN07,OUT017,2087.757861155802
FDM51,OUT019,269.4546528658997
FDT52,OUT027,6462.352626100487
FDL26,OUT046,2499.2624164119784
NCZ42,OUT046,4058.098162224923
DRI47,OUT019,348.00947074915405
FDW40,OUT013,2087.757861155802
FDN34,OUT046,2759.0533558964094
FDS01,OUT035,2856.829837832294
NCG55,OUT045,1918.908209713586
FDC11,OUT035,1393.4352890530283
FDX35,OUT018,3682.257451324092
NCB06,OUT046,2672.2304336820985
FDR09,OUT019,563.3641487976455
FDC53,OUT017,1554.6333790350834
FDY45,OUT013,4071.723480230704
FDA22,OUT010,419.0999241979017
FDE02,OUT035,1545.200940061716
FDW21,OUT045,1558.5813264579365
FDV34,OUT046,1082.333237046173
FDS59,OUT049,1589.0162401452146
NCW17,OUT017,2083.2169914251226
NCK54,OUT046,1934.4819614265987
FDG17,OUT019,563.4592460118997
FDG35,OUT017,2812.587935479101
FDD08,OUT010,95.83102922492007
NCO07,OUT017,3565.9176268669607
FDJ10,OUT010,316.0353792299178
FDW36,OUT017,1563.676858596357
FDW21,OUT010,251.65133656980464
FDY19,OUT017,1974.469099635926
DRE03,OUT013,706.1505478734296
NCC55,OUT049,695.2981677696403
FDH52,OUT010,160.44911818633264
FDO09,OUT017,4099.073519779573
FDU43,OUT045,3985.7642567504245
FDX09,OUT010,417.77600869478107
FDH40,OUT019,219.73994918778746
FDW58,OUT017,1563.676858596357
FDC47,OUT017,3797.5035409065326
NCR41,OUT035,1530.65301706444
DRG49,OUT035,3993.0602752991585
FDC52,OUT027,3814.2624114866826
FDY13,OUT046,1082.333237046173
FDY35,OUT013,695.2981677696403
FDI35,OUT017,3073.264288839501
NCU18,OUT049,2087.757861155802
FDY33,OUT018,2640.5670995146015
FDC15,OUT027,3973.5881150142272
FDU01,OUT049,3092.6216159552832
NCU42,OUT046,2759.0533558964094
NCV29,OUT018,2820.429900481097
NCY30,OUT017,3082.4429478276807
FDQ46,OUT049,1622.2978025144387
FDG58,OUT027,4003.435244174562
FDK33,OUT017,3559.0023718224616
NCD07,OUT045,1912.9074872744711
NCX29,OUT027,3919.2176249397166
NCT42,OUT013,2466.0833550235084
DRN59,OUT035,706.1505478734296
FDI44,OUT035,1208.5773092002803
FDA45,OUT049,2812.587935479101
FDP31,OUT045,1024.9747006385276
FDY01,OUT046,1912.9074872744711
FDT09,OUT018,2087.757861155802
DRH03,OUT027,2624.285586051955
FDA36,OUT018,3081.8332813969837
NCF31,OUT017,2499.2624164119784
FDG14,OUT049,2476.3109610313427
FDG28,OUT027,6434.633030410947
FDU14,OUT049,4064.625333716501
FDY47,OUT019,314.5435894455589
FDI56,OUT049,1485.5125643169415
DRD01,OUT013,859.4804293220585
FDM22,OUT046,859.4804293220585
FDH33,OUT013,695.2981677696403
DRZ24,OUT013,2027.318126966065
NCQ38,OUT046,1563.676858596357
FDO16,OUT027,2178.83338943517
FDU07,OUT027,3880.59337784707
NCB07,OUT013,3092.6216159552832
FDU48,OUT045,2087.757861155802
NCM43,OUT045,2704.045838215326
FDR31,OUT010,373.43169530072606
DRK49,OUT018,695.2981677696403
NCI30,OUT010,554.026061394644
DRD60,OUT017,2979.716077076677
NCG19,OUT046,3845.375746395071
FDH12,OUT035,1563.676858596357
FDM32,OUT035,1514.4134254055966
FDM27,OUT035,2524.7329348714466
NCU53,OUT027,4253.64899919936
NCQ18,OUT046,1554.6333790350834
FDS10,OUT013,2880.927613519877
FDB33,OUT027,4013.0720496452204
FDI12,OUT013,1380.8927898516254
NCW42,OUT013,3583.8564145661617
NCC06,OUT018,2083.2169914251226
FDW02,OUT017,2083.2169914251226
NCD43,OUT017,1563.676858596357
FDM57,OUT018,1298.8923466193173
FDA58,OUT017,3874.6492719925095
FDK56,OUT046,3092.6216159552832
FDP52,OUT045,3874.9392009154544
FDW20,OUT018,2083.2169914251226
FDS52,OUT049,1554.6333790350834
NCT29,OUT018,2067.64271859662
NCL54,OUT013,2837.650574505186
FDC05,OUT045,3134.8427780670013
FDF34,OUT035,3115.814894231067
FDP03,OUT027,3232.075258034745
FDD32,OUT010,210.50309770586492
FDZ10,OUT045,2083.2169914251226
FDZ40,OUT035,859.4804293220585
FDD51,OUT018,695.2981677696403
NCY30,OUT019,398.92521894964733
FDP58,OUT017,3513.122071999415
FDV49,OUT017,4196.084841006295
FDY24,OUT019,139.47217424197544
NCO55,OUT017,1575.520000901861
FDR13,OUT017,1934.4819614265987
FDS51,OUT017,936.6112029342723
FDP26,OUT045,1563.676858596357
NCB54,OUT027,3263.5393358441133
FDF32,OUT017,3115.814894231067
FDN31,OUT018,3081.8332813969837
DRM48,OUT017,695.2981677696403
FDN20,OUT049,2759.0533558964094
DRL01,OUT046,3896.656266151744
FDV56,OUT049,1575.520000901861
DRH13,OUT027,2695.3818253052395
FDA03,OUT017,2466.0833550235084
FDF47,OUT027,5898.585105793071
FDX32,OUT046,2466.0833550235084
FDX57,OUT049,1554.6333790350834
NCA30,OUT045,3092.6216159552832
FDO49,OUT013,723.1039102984963
FDL04,OUT019,254.59450556675088
DRM48,OUT035,695.2981677696403
FDR16,OUT013,3513.122071999415
NCC19,OUT018,3081.8332813969837
NCE42,OUT045,3963.863388414702
FDY24,OUT017,859.4804293220585
FDH19,OUT049,2837.650574505186
FDJ46,OUT013,2837.650574505186
FDN45,OUT010,562.9729876663373
FDY08,OUT035,2087.757861155802
FDZ37,OUT035,1380.8927898516254
NCT30,OUT045,706.1505478734296
DRY23,OUT018,695.2981677696403
NCZ30,OUT018,2083.2169914251226
FDC44,OUT018,1872.9209968895798
FDB45,OUT035,1563.676858596357
FDY04,OUT013,2691.0290985652014
FDM27,OUT046,2657.7877735386905
FDZ43,OUT017,3983.9135486434084
FDT39,OUT019,383.0142045014203
NCC06,OUT019,299.68781398298984
FDL15,OUT027,3979.2242553750975
FDL57,OUT017,4062.5767535749537
FDU08,OUT046,1554.6333790350834
FDK40,OUT017,4156.3229070238685
FDQ12,OUT010,537.7746607292809
FDS48,OUT017,2476.3109610313427
FDP09,OUT045,3559.0023718224616
FDW21,OUT049,1554.6333790350834
FDY25,OUT035,2972.273158271057
DRE13,OUT017,1380.8927898516254
FDV43,OUT019,97.23979853739161
FDD22,OUT045,1622.2978025144387
FDM46,OUT019,273.9339107487641
NCO30,OUT010,505.4072389145931
FDM25,OUT046,2837.650574505186
NCN41,OUT049,2083.2169914251226
FDU24,OUT045,1524.6168463952338
FDZ50,OUT046,3082.4429478276807
FDP45,OUT013,4080.6873154167506
NCM54,OUT045,2083.2169914251226
FDW10,OUT019,391.6000606702459
FDP20,OUT017,2083.2169914251226
FDK32,OUT046,2476.3109610313427
FDN52,OUT049,1418.7345418308764
FDM58,OUT045,1615.5519455257117
FDZ46,OUT027,2939.6413532087695
NCA18,OUT018,1934.4819614265987
FDD35,OUT046,2083.2169914251226
NCK31,OUT035,723.1039102984963
FDI40,OUT027,2676.585696001472
FDT50,OUT019,248.1338132253667
NCT06,OUT046,2704.045838215326
FDT31,OUT035,3092.6216159552832
FDT45,OUT049,844.0393730031814
FDT13,OUT045,3092.6216159552832
FDO50,OUT045,1499.2175445601113
NCU18,OUT010,283.64546149208485
NCR54,OUT049,3092.6216159552832
NCO18,OUT018,2820.429900481097
FDU09,OUT045,859.4804293220585
FDT13,OUT018,3081.8332813969837
FDE09,OUT046,1622.2978025144387
NCK53,OUT019,274.31166366586507
FDG45,OUT049,3560.0841497841825
DRH15,OUT035,695.2981677696403
FDO21,OUT019,544.406428645618
FDD14,OUT027,5006.646609513118
FDC09,OUT046,1563.676858596357
FDH45,OUT027,1109.5349089935335
FDV32,OUT046,1024.9747006385276
FDG12,OUT035,2053.7316631183853
